coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
neo,8 Aug 2017,7 Sep 2017,30.0,259.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,318910,17.62,1349,0.12,0.08,1.33,1.3,0.043,-0.648,0.017,0.006
dash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,N/A,15422,0.28,0.14,2.23,2.21,-0.219,-0.606,0.009,0.004
monero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,246540,0.01,0.1,1.54,1.48,0.002,-0.813,0.006,0.006
tether,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,6,0.04,0.02,0.37,0.28,0.004,-0.07,0.0,0.0
nem,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,4,N/A,N/A,65525,-0.26,-0.08,-1.29,-1.38,0.125,1.292,0.01,0.007
vechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,7478420,-0.34,0.09,1.49,1.44,0.072,-0.097,0.019,0.02
ethereum classic,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
binance coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bytecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
qtum,12 Mar 2017,17 Mar 2017,5.0,433.0,7,blockchain,18,15000000.0,N/A,1.0,0.3,14112,6,162919,19.63,11221600,0.23,0.06,0.98,0.93,0.075,0.795,0.008,0.005
zcash,N/A,N/A,N/A,N/A,1,other,1,N/A,N/A,N/A,N/A,7,1,N/A,N/A,2532790,-0.21,-0.12,-1.89,-1.92,-0.083,-0.442,0.002,0.003
omisego,23 Jun 2017,23 Jul 2017,30.0,305.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,13,274037,1.53,750698,0.37,0.31,4.86,4.82,-0.055,-0.874,0.016,0.004
icon,22 Sep 2017,22 Sep 2017,0.0,244.0,8,transportation,41,42750000.0,42800000.0,1.0,0.11,20995,30,101265,3.52,71509,0.34,0.32,5.1,5.05,-0.079,-1.554,0.018,0.018
lisk,N/A,N/A,N/A,N/A,5,other,5,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,222502,0.1,0.15,2.34,2.32,-0.073,-1.016,0.013,0.008
zilliqa,27 Dec 2017,04 Jan 2018,8.0,140.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0,29876,7,N/A,N/A,4921770,-0.37,-0.14,-2.21,-2.31,-0.345,-1.617,0.003,0.003
steem,N/A,N/A,N/A,N/A,12,other,4,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,28820,-0.1,0.0,0.0,0.02,-0.029,0.773,0.01,-0.002
bitcoin gold,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
decred,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,127149,0.27,0.13,2.11,2.14,-0.153,-1.488,0.01,0.003
ontology,N/A,N/A,N/A,N/A,12,blockchain,N/A,N/A,N/A,N/A,0.2,30805,2,N/A,13.2,150428000,0.04,0.22,3.52,3.54,-0.457,-1.315,0.017,0.019
aeternity,29 May 2017,19 Jun 2017,21.0,339.0,5,saas,15,24426689.0,N/A,N/A,0.3,N/A,3,277,1.32,1518,0.39,0.09,1.42,1.41,0.033,1.124,0.017,0.009
0x,15 Aug 2017,15 Sep 2017,31.0,251.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,7,43161,2.21,5232600,0.23,0.12,1.97,1.95,-0.253,-0.41,0.016,0.012
verge,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,5,0,N/A,N/A,707,0.07,0.11,1.68,1.68,-0.287,-0.098,0.028,0.004
nano,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,7,0,N/A,N/A,23600,0.08,0.19,3.03,3.02,-0.288,-0.558,0.026,-0.01
bytom,20 Jun 2017,20 Jul 2017,30.0,308.0,3,saas,5,2286000.0,N/A,N/A,N/A,N/A,0,12200,N/A,7543670,0.18,0.05,0.77,0.75,-0.076,-1.599,0.013,0.01
siacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,300,0,N/A,N/A,25580,0.05,0.04,0.66,0.65,0.087,-1.378,0.012,0.004
stratis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,48504,0.2,0.16,2.54,2.53,-0.007,-0.085,0.015,0.001
bitshares,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,19494,-0.2,0.16,2.46,2.45,-0.024,0.985,0.005,0.004
populous,24 Jul 2017,24 Jul 2017,0.0,304.0,4,fintech,5,10220400.0,991001144.0,0.01,0.25,N/A,0,22744,12.32,2704070,0.2,0.11,1.69,1.68,-0.051,1.522,0.013,-0.0
bitcoin diamond,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wanchain,01 Oct 2017,01 Nov 2017,31.0,204.0,3,blockchain,17,35990000.0,36000000.0,1.0,0.34,47730,0,N/A,11.38,189439000,0.18,1.41,2.83,2.81,-0.517,-0.718,0.004,0.005
waves,N/A,N/A,N/A,N/A,12,other,1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,83734,-0.28,-0.15,-2.34,-2.41,-0.003,0.08,0.006,0.001
maker,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,13325,0.23,0.15,2.34,2.33,-0.038,1.096,0.063,0.003
augur,17 Aug 2015,1 Oct 2015,45.0,966.0,1,saas,13,5000000.0,N/A,0.8,0.6,N/A,0,425,1.45,728,0.09,0.14,2.18,2.02,0.029,-0.424,0.009,0.007
rchain,N/A,N/A,N/A,N/A,1,blockchain,6,N/A,15000000.0,N/A,2.4,2347,0,9833,-0.92,22131,0.01,0.19,3.01,2.94,-0.063,0.28,0.017,0.002
bitcoin private,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dogecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,50,0,N/A,N/A,0.0,0.11,0.16,2.54,2.51,-0.236,-0.502,0.005,0.003
golem,13 Nov 2016,13 Nov 2016,0.0,557.0,5,saas,15,8000000.0,N/A,1.0,0.01,N/A,0,136817,61.68,68198400,0.07,0.58,1.16,1.04,-0.361,-1.799,-0.005,-0.004
digibyte,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,27811,-0.81,-0.11,-1.79,-1.83,-0.082,-4.057,0.009,0.004
status,20 Jun 2017,20 Jun 2017,0.0,338.0,6,saas,12,10000000.0,N/A,N/A,0.02,N/A,0,100252,1.81,13747700,-0.21,0.04,0.66,0.63,0.163,-1.258,0.008,-0.012
waltonchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,10689000,0.2,0.21,3.3,3.28,-0.032,-2.89,0.02,-0.008
iostoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,602,0,N/A,N/A,98024200,0.15,0.07,1.1,1.08,-0.283,-1.952,0.018,-0.003
aion,24 Nov 2017,24 Dec 2017,30.0,151.0,12,blockchain,N/A,N/A,N/A,N/A,1.0,11251,0,N/A,-0.37,20958,0.12,0.22,3.46,3.44,-0.128,-4.603,0.019,-0.018
skycoin,N/A,N/A,N/A,N/A,12,saas,6,N/A,N/A,N/A,N/A,9512,0,11412,N/A,3733,0.33,0.21,3.32,3.3,-0.075,-11.081,0.019,0.026
mixin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,4,0,N/A,N/A,824201,-0.05,-0.19,-3.08,-3.13,-0.056,2.335,-0.003,-0.003
hshare,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,6789300,0.07,0.05,0.8,0.77,0.053,-3.718,0.005,0.0
basic attenti...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
digixdao,29 Mar 2016,30 Mar 2016,1.0,785.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,14979,6.54,1900,-0.05,-0.01,-0.14,-0.17,0.033,-2.01,0.006,-0.019
loopring,1 Aug 2017,16 Aug 2017,15.0,281.0,3,saas,3,45000000.0,N/A,1.0,0.06,N/A,0,35064,0.75,200829,-0.05,0.12,1.93,1.9,-0.14,0.612,0.015,-0.013
komodo,15 Oct 2016,16 Nov 2016,32.0,554.0,12,saas,N/A,1983781.0,N/A,N/A,0.09,N/A,0,88195,0.23,22487,0.02,0.12,1.88,1.87,-0.003,-3.139,0.022,-0.01
nebulas,8 Dec 2017,16 Dec 2017,8.0,159.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12009,0,22243,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aelf,N/A,N/A,N/A,N/A,12,blockchain,N/A,24750000.0,24800000.0,1.0,0.1,74553,0,N/A,10.2,83836700,0.26,0.09,1.39,1.35,-0.152,1.153,0.005,-0.001
ark,05 Nov 2016,09 Dec 2016,34.0,531.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,45,0,N/A,-0.66,133793,0.32,0.26,4.19,4.16,-0.166,-3.89,0.018,-0.008
loom network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ardor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,36,-0.22,-0.16,-2.56,-2.61,0.59,-2.12,0.005,-0.012
waykichain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2845660,-0.26,-0.09,-1.47,-1.52,-0.216,0.301,0.009,0.019
pivx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,641,0.4,0.16,2.49,2.47,-0.23,-2.55,0.019,-0.011
dentacoin,1 Oct 2017,1 Nov 2017,31.0,204.0,5,insurance services,19,1923507.0,28800000.0,0.07,0.0,1442,0,110,N/A,228296,0.04,0.06,0.94,0.91,-0.189,-5.057,0.026,-0.006
cortex,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,28409300,0.37,2.92,5.85,5.8,0.067,3.589,0.019,-0.001
polymath,N/A,N/A,N/A,N/A,12,saas,28,N/A,N/A,N/A,0.4,46366,0,26591,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cryptonex,01 Sep 2017,30 Sep 2017,29.0,236.0,12,other,N/A,N/A,N/A,N/A,N/A,2368,0,N/A,N/A,79554,-0.03,0.12,1.88,1.85,-0.231,-5.182,0.009,-0.007
monacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,557,-0.05,-0.06,-0.89,-0.93,0.002,-2.522,0.008,-0.003
bancor,12 Jun 2017,12 Jun 2017,0.0,346.0,12,saas,6,15300000.0,N/A,N/A,3.92,6409,0,808,4.1,16871,-0.16,-0.07,-1.04,-1.08,0.003,-1.833,0.001,-0.002
fusion,1 Feb 2018,10 Feb 2018,9.0,103.0,7,fintech,20,42185216.0,42200000.0,1.0,2.06,10414,0,7434,0.59,1440790,-0.04,0.12,1.87,1.81,-0.17,-3.373,0.012,0.016
syscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,515,0,N/A,N/A,84067,-0.16,-0.19,-3.02,-3.07,-0.054,-3.627,0.011,-0.006
gas,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,121304,0.2,0.2,3.12,3.1,0.029,-2.421,0.016,-0.011
elastos,01 Jan 2018,22 Jan 2018,21.0,122.0,3,blockchain,N/A,94073200.0,94100000.0,1.0,18.09,16982,0,N/A,1.26,33745700,0.19,-0.02,-0.34,-0.38,-0.436,1.187,0.003,-0.003
kyber network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
reddcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,6500,0,N/A,N/A,7925,0.2,0.04,0.64,0.62,0.054,-1.952,0.016,-0.003
huobi token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cybermiles,21 Nov 2017,21 Dec 2017,30.0,154.0,1,saas,9,30881582.0,30900000.0,1.0,0.05,72933,0,223998,2.61,12580000,-0.09,0.01,0.22,0.19,0.008,0.507,0.006,0.024
mithril,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,8672250,0.4,3.19,6.39,6.38,-1.925,-10.742,0.069,-0.008
gxchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,19932900,-0.42,0.01,0.13,0.09,0.105,-1.947,0.004,-0.004
maidsafecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,21809,-0.01,0.05,0.76,0.7,-0.089,-4.359,0.005,0.005
qash,N/A,N/A,N/A,N/A,7,fintech,60,106400000.0,106400000.0,1.0,0.24,18154,0,N/A,1.1,9608310,0.14,0.18,2.89,2.85,0.111,-0.407,0.006,-0.012
ethos,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,61497,0.28,0.25,3.99,3.97,0.023,-3.746,0.021,-0.008
funfair,N/A,N/A,N/A,N/A,4,other,35,20000000.0,20000000.0,1.0,0.01,5069,0,36186,0.4,8783,0.17,0.13,2.05,2.04,-0.27,-2.761,0.019,-0.007
veritaseum,25 Apr 2017,26 May 2017,31.0,363.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1772,0,23114,3.05,450758,0.22,0.13,2.02,2.02,-282.438,-3.813,198.205,-0.013
substratum,14 Aug 2017,14 Sep 2017,31.0,252.0,1,blockchain,6,13800000.0,45000000.0,0.31,0.07,12623,0,1160,-0.33,41819,0.29,0.28,4.47,4.43,-0.239,-5.225,0.018,-0.014
dragonchain,2 Oct 2017,2 Nov 2017,31.0,203.0,1,saas,8,13700000.0,15807374.622,0.87,0.07,N/A,0,73026,2.85,1142060,0.37,0.26,4.08,4.06,0.118,-4.124,0.013,-0.021
centrality,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,165758,-0.05,0.02,0.34,0.29,-0.312,-2.359,-0.004,-0.025
zcoin,N/A,N/A,N/A,N/A,1,other,5,N/A,N/A,N/A,N/A,1227,0,N/A,N/A,1290,0.42,0.13,2.03,2.01,-0.075,-3.153,0.019,-0.009
factom,N/A,N/A,N/A,N/A,1,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,29947,-0.05,-0.06,-0.92,-0.96,-0.079,-0.053,0.01,-0.016
holo,29 Mar 2018,28 Apr 2018,30.0,26.0,7,telecommunications,8,20388500.0,20400000.0,1.0,0.0,7916,0,4361,N/A,5764530,0.26,2.05,4.1,4.07,1.316,10.437,0.035,0.033
nuls,N/A,N/A,N/A,N/A,3,blockchain,10,N/A,N/A,N/A,4.01,6505,0,18412,-0.97,26708,0.32,0.22,3.55,3.57,-0.177,4.577,0.033,-0.003
storm,07 Nov 2017,07 Dec 2017,30.0,168.0,1,fintech,8,30716420.0,27600000.0,1.0,0.01,10034,0,26410,0.62,330757,0.68,0.15,2.39,2.43,-0.232,1.141,0.019,-0.026
enigma,N/A,N/A,N/A,N/A,1,fintech,5,45000000.0,45000000.0,1.0,0.6,14825,0,N/A,-0.98,4088,0.0,0.2,3.2,3.2,0.331,-1.676,0.081,-0.0
kin,12 Sep 2017,26 Sep 2017,14.0,240.0,1,saas,7,48594816.0,75000000.0,0.65,0.0,N/A,0,24420,N/A,372049,-0.08,-0.01,-0.17,-0.11,-0.137,2.859,0.012,-0.004
iexec rlc,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nxt,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,20,0,N/A,N/A,0.0,0.28,0.2,3.14,3.16,-0.04,1.845,0.006,-0.015
electroneum,14 Sep 2017,20 Oct 2017,36.0,216.0,4,blockchain,15,39934610.0,40000000.0,1.0,0.01,49049,0,122479,6.74,2464330,-0.13,0.08,1.26,1.29,0.104,-1.239,0.001,-0.007
gifto,14 Dec 2017,14 Dec 2017,0.0,161.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,57317,0,16304,2.49,44959800,0.32,0.12,1.93,1.96,-0.055,-1.676,0.008,-0.03
salt,N/A,N/A,N/A,N/A,12,fintech,N/A,48500000.0,48500000.0,1.0,0.89,763,0,N/A,3.88,4174650,-0.17,0.0,0.08,0.13,-0.072,0.394,0.001,-0.028
power ledger,8 Sep 2017,6 Oct 2017,28.0,230.0,9,energy,17,13232290.0,N/A,N/A,0.09,16703,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zencash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,3196,-0.01,-0.04,-0.65,-0.61,-0.185,0.366,0.011,-0.009
matrix ai net...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wax,N/A,N/A,N/A,N/A,12,gaming,N/A,9600000.0,9600000.0,1.0,0.32,16595,0,N/A,13.41,11963300,0.09,-0.03,-0.43,-0.41,-0.129,0.014,-0.005,-0.02
revain,21 Aug 2017,4 Sep 2017,14.0,262.0,2,saas,11,12513346.0,400.0,1.0,0.05,2368,0,6378,0.56,107140,0.26,0.38,6.0,6.05,0.088,1.831,0.017,-0.015
deepbrain chain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bnktothefuture,16 Feb 2018,16 Mar 2018,28.0,69.0,12,fintech,10,33000000.0,N/A,N/A,0.1,N/A,0,N/A,-0.22,40890,0.31,0.2,3.11,3.17,-0.038,1.042,0.022,-0.009
chainlink,N/A,N/A,N/A,N/A,1,blockchain,N/A,32000000.0,32000000.0,1.0,0.11,286,0,N/A,0.72,2718640,0.36,0.06,0.95,1.01,-0.079,3.563,0.01,-0.013
dropil,7 Feb 2018,7 Mar 2018,28.0,78.0,1,fintech,6,60000000.0,31679999.999999996,1.0,0.0,702,0,6661,N/A,78904,-0.05,0.06,0.99,1.06,0.006,0.634,0.005,0.009
byteball bytes,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eosdac,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,108048,0.31,2.44,4.88,4.9,-2.527,1.225,0.071,0.027
nexus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,7268,-0.12,0.03,0.49,0.52,-0.026,1.408,0.015,-0.008
monaco,18 May 2017,18 Jun 2017,31.0,340.0,6,fintech,4,26700000.0,N/A,0.1,2.88,7336,0,64428,-0.14,1549870,-0.1,0.2,3.1,3.12,0.051,1.746,0.015,-0.018
paypex,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,14801,0.14,0.16,2.6,2.64,-0.184,5.732,0.03,0.022
bibox token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
quantstamp,17 Nov 2017,16 Dec 2017,29.0,159.0,1,fintech,10,31320000.0,31300000.0,1.0,0.07,24343,0,N/A,0.3,28481900,0.18,0.23,3.59,3.62,-0.315,4.718,0.014,0.002
theta token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
emercoin,N/A,N/A,N/A,N/A,12,other,11,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,23,0.3,0.2,3.13,3.14,-0.02,0.746,0.019,-0.008
request network,13 Oct 2017,17 Oct 2017,4.0,219.0,5,fintech,6,32895000.0,N/A,N/A,0.06,13985,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nucleus vision,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neblio,6 Aug 2017,20 Aug 2017,14.0,277.0,1,fintech,2,14834923.0,N/A,0.07,0.2,N/A,0,N/A,2.15,257746,0.2,0.24,3.77,3.81,-0.113,2.549,0.023,-0.024
tenx,24 Jun 2017,24 Jun 2017,0.0,334.0,7,fintech,10,80000000.0,N/A,N/A,0.87,115,0,1718,53.94,303595,0.05,0.16,2.47,2.49,-0.134,2.845,0.008,-0.015
decentraland,8 Aug 2017,8 Aug 2017,0.0,289.0,10,entertainment,13,24137000.0,20000000.0,1.0,0.02,N/A,0,3,0.24,688849,-0.21,-0.01,-0.19,-0.15,-0.121,-0.225,0.016,-0.017
civic,21 Jun 2017,22 Jun 2017,1.0,336.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8870,0,86001,0.77,9750800,0.18,0.14,2.26,2.3,-0.24,0.169,0.009,-0.015
storj,19 May 2017,25 May 2017,6.0,364.0,1,saas,15,30000000.0,30000000.0,1.0,0.5,N/A,0,82687,0.1,211542,0.08,0.11,1.71,1.74,-0.01,2.099,0.009,-0.017
all sports,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aragon,17 May 2017,17 May 2017,0.0,372.0,5,saas,2,25000000.0,N/A,N/A,0.74,N/A,0,6705,1.05,2745280,0.28,0.09,1.43,1.48,0.006,1.056,0.007,-0.008
achain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,12522,0,N/A,N/A,4030040,-0.07,0.08,1.28,1.31,0.019,4.69,0.01,-0.019
bottos,31 Dec 2017,30 Jan 2018,30.0,114.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,2.3,18592600,-0.1,-0.12,-1.97,-1.92,-0.133,4.099,0.002,0.003
bitcoindark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,101409,0.39,0.32,5.01,5.03,-0.076,-16.746,0.012,0.018
scry.info,N/A,N/A,N/A,N/A,12,blockchain,N/A,42294000.0,42300000.0,1.0,0.15,12577,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
true chain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iconomi,25 Aug 2016,29 Sep 2016,35.0,602.0,5,saas,26,10000000.0,N/A,0.85,0.11,N/A,0,911,1.43,14652,0.13,0.1,1.6,1.63,-0.094,3.775,0.01,-0.017
nexo,17 Mar 2018,15 Apr 2018,29.0,39.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,65080,0,N/A,0.85,3226150,0.04,0.34,0.68,0.73,-0.177,10.815,-0.001,0.004
smartcash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,957,0.17,0.15,2.3,2.32,-0.1,7.246,0.032,-0.013
